"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
NULL;"CH4 0PX";"53.1622087";"-3.0007795";"Active Booker";"105328";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"445";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104657";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"102632";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"OL12 8DA";"53.6628694";"-2.1734099";"Active Booker";"105347";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"455";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105029";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"WN1 2QY";"53.5645182";"-2.6325223";"Active Booker";"105374";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104958";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BB7 2DU";"53.8736387";"-2.3959476";"Active Booker";"105116";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"101397";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"SM6 0NF";"51.3575964";"-0.1503373";"Student";"101959";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"SM6 0NF";"51.3575964";"-0.1503373";"Active Booker";"105055";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102686";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR4 1YE";"53.7549028";"-2.8765185";"Student";"105151";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"100193";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"BB7 3AA";"53.9105";"-2.4500566";"Lapsed Booker";"102483";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104239";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"M";"MK43 8TT";"52.1469711";"-0.5589628";"Lapsed Booker";"103102";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"MK43 8TT";"52.1469711";"-0.5589628";"Student";"100245";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"M27 6HJ";"53.5223032";"-2.3388839";"Lapsed Booker";"102619";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102845";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"486";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"102959";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY8 1YB";"53.7484208";"-3.0173861";"Active Booker";"499";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102332";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
