"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102044";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"80.03"
"M";"LS24 9DA";"53.8595164";"-1.255";"Student";"104257";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N";"79.00"
"F";"LA8 8AX";"54.2983918";"-2.8113626";"Active Booker";"103795";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"78.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"105397";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N";"78.00"
;"BR2 9JF";"51.395692";"0.02621519";"Student";"103041";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N";"77.00"
"F";"LA11 7RA";"54.1848925";"-2.9421963";"Regular Booker";"103766";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"77.00"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Student";"105273";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N";"76.50"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"105408";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"76.00"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Student";"105928";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"76.00"
;"BB4 4HH";"53.6927";"-2.3294842";"Regular Booker";"102473";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"76.00"
;"LA1 3EY";"54.0504484";"-2.786843";"Student";"101772";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"76.00"
"F";;;;"Regular Booker";"100087";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"75.80"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"102574";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"75.00"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"105404";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"74.50"
