"branch";"author";"title";"class";"fakecode";"fakelat";"fakelong"
"36";"Holden, Greg";"Computer basics for the over 50s";"4.0840";"NE8 2NA";"54.9575854";"-1.6196341"
"36";"McBride, P. K.";"Brilliant Internet for the over 50s";"4.6780";"NE8 2NA";"54.9575854";"-1.6196341"
"36";"Awl, Dave";"Facebook me! : a guide to having fun with your f";"4.6900";"NE5 2SY";"54.9899786";"-1.6833345"
"36";"Kloskowski, Matt";"Windows Vista book : doing cool things with Vist";"5.4460";"DH3 1NE";"54.9020166";"-1.5764199"
"3";"Ballew, Joli";"Computer basics using Windows 7 in simple steps";"5.4460";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Ballew, Joli";"Brilliant laptops";"4.1600";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Gatenby, James";"Windows 7 for the older generation";"5.4460";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"Clarke, Alan";"CLAIT Plus. Student workbook : IT user qualifica";"4.0760";"NE10 8XJ";"54.943604";"-1.540505"
"2";"Crystal, David";"Txtng : the Gr8 Db8";"4.6920";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"Beattie, Rob";"Office 2007 handbook";"5.5000";"NE20 9RA";"55.0435056";"-1.7516105"
"35";"Johnson, Steve";"Brilliant Microsoft Excel 2007";"5.5400";"NE28 9BN";"55.0098636";"-1.5216174"
"35";"Negus, Chris";"Linux bible : boot up to Ubuntu, Fedora, KNOPPIX";"5.4320";"NE28 9BN";"55.0098636";"-1.5216174"
"35";"Negus, Chris";"Linux bible";"5.4320";"NE28 9BN";"55.0098636";"-1.5216174"
"36";"Krug, Steve";"Don't make me think! : a common sense approach t";"5.7200";"NE46 1SQ";"54.9043014";"-2.0823699"
"36";"Gookin, Dan";"Laptops for dummies";"4.1600";"NE32 4EB";"54.9581274";"-1.4797992"
"36";"Rathbone, Andy";"Windows 7 & Office 2010 for dummies";"5.4460";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"Day, Paul";"Real hacker's handbook";"5.8000";"NE4 5EQ";"54.9768148";"-1.6327259"
"36";"Schneider, David I.";"Introduction to programming using Visual Basic 2";"5.1330";"NE4 5EQ";"54.9768148";"-1.6327259"
