"branch";"branchname";"registered";"fakecode";"fakelat";"fakelong"
"36";"CITY";"40914.59371527778";"NE8 1NL";"54.9583091";"-1.6057576"
"36";"CITY";"40914.59414351852";"NE20 9RA";"55.0435056";"-1.7516105"
"35";"EAST END";"40914.59518518519";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"CITY";"40914.61391203704";"DH6 5PF";"54.73376";"-1.5401667"
"36";"CITY";"40914.61594907408";"DH7 9RA";"54.7859493";"-1.6958007"
"3";"FENHAM";"40914.61914351852";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"CITY";"40914.62827546296";"NE65 9EY";"55.3082264";"-1.6756717"
"23";"MOORSIDE";"40914.65665509259";"NE4 5EQ";"54.9768148";"-1.6327259"
"36";"CITY";"40914.6643287037";"SR2 0RY";"54.8718326";"-1.3690661"
"2";"GOSFORTH";"40914.66443287037";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40914.666875";"NE24 5HP";"55.1268178";"-1.5310327"
"36";"CITY";"40914.673125";"NE39 1JY";"54.9216062";"-1.7494625"
"6";"WALKER";"40914.67475694444";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"CITY";"40914.67486111111";"NE4 7RU";"54.9661468";"-1.6362294"
"36";"CITY";"40914.69486111111";"NE3 2SL";"55.01723";"-1.6492613"
"2";"GOSFORTH";"40914.70313657408";"NE3 2SL";"55.01723";"-1.6492613"
"7";"HIGH HEATON";"40914.71010416667";"NE7 7PL";"55.0001164";"-1.5787226"
"20";"DENTON BURN";"40914.71248842592";"NE23 2FJ";"55.0915377";"-1.5720566"
"7";"HIGH HEATON";"40914.71287037037";"NE7 7PL";"55.0001164";"-1.5787226"
"36";"CITY";"40914.73030092593";"NE2 4AB";"54.9839327";"-1.620875"
"36";"CITY";"40914.73217592593";"NE1 8DX";"54.977629";"-1.6092258"
"36";"CITY";"40914.73384259259";"NE1 8DX";"54.977629";"-1.6092258"
"36";"CITY";"40915.39556712963";"NE12 6HA";"55.036";"-1.5643384"
"36";"CITY";"40915.40951388889";"NE10 0YQ";"54.9557589";"-1.5549643"
"36";"CITY";"40915.41854166667";"SR6 7UY";"54.953664";"-1.3848063"
"36";"CITY";"40915.44520833333";"NE4 5EQ";"54.9768148";"-1.6327259"
"14";"CRUDDAS PARK";"40915.47503472222";NULL;NULL;NULL
"4";"JESMOND";"40915.49443287037";"NE25 8BH";"55.0391897";"-1.459559"
"36";"CITY";"40915.50127314815";"SR7 8HQ";"54.8305821";"-1.3600597"
"36";"CITY";"40915.50914351852";"NE7 7PL";"55.0001164";"-1.5787226"
"4";"JESMOND";"40915.51002314815";"NE2 2RR";"54.9919918";"-1.6003689"
"36";"CITY";"40915.51608796296";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"CITY";"40915.52400462963";"NE2 1NQ";"54.9828735";"-1.5974036"
"36";"CITY";"40915.52846064815";"NE12 7NB";"55.0267156";"-1.5716881"
"36";"CITY";"40915.52856481481";"NE63 0QB";"55.1761436";"-1.5608205"
"4";"JESMOND";"40915.53472222222";"NE2 2RR";"54.9919918";"-1.6003689"
"36";"CITY";"40915.5359375";"NE6 3NP";"54.9705946";"-1.5480865"
"36";"CITY";"40915.5419212963";"NE6 3NP";"54.9705946";"-1.5480865"
"36";"CITY";"40915.54569444444";"NE27 0NF";"55.0344612";"-1.5120155"
"36";"CITY";"40915.54581018518";"NE12 8JB";"55.0150567";"-1.5827328"
"36";"CITY";"40915.54924768519";"PL9 9LQ";"50.3552143";"-4.0971837"
